asi_slno,raw_text,page
22,The Huchhimalli Gudi in Sy.No 64 Aihole Bagalkot,36
23,Ishwar Aihole Bagalkot,36
24,Ishwarling Aihole Bagalkot,36
25,Ishwarling Aihole Bagalkot,36
26,Ishwarling Aihole Bagalkot,36
27,Ishwarling (no local name) Aihole Bagalkot 36 Sl.No. Name of the Monument / Site Locality District,36
28,The Jain Temple of Meguti Aihole Bagalkot,37
29,Jotirling Temple Aihole Bagalkot,37
30,Karegudi Aihole Bagalkot,37
31,Kintgudi Aihole Bagalkot,37
32,Maddingudi (Basavanna) Aihole Bagalkot,37
33,Maddingudi (Basavanna) Aihole Bagalkot,37
34,Yogi narayan Temple Aihole Bagalkot,37
35,Matha or Hall just behind the last without a Aihole Bagalkot shrine,37
36,Mena Basti (Jain Cave ) Aihole Bagalkot,37
37,"No name, but forms part of no.67 Aihole Bagalkot",37
38,No name close to no.99 Aihole Bagalkot,37
39,Rachigudi Aihole Bagalkot,37
40,Ramling Temple Aihole Bagalkot,37
41,Ravan Phadi (Brahmanical cave) Aihole Bagalkot,37
42,Small temple to south-west of the Great Aihole Bagalkot Durga Temple,37
43,Temple adjoining Konti Gudi on west side Aihole Bagalkot and inscription tablet within the temple,37
44,"The temple adjoining Konti Gudi on South- Aihole Bagalkot West side, known as Surang Gudi.",37
45,"Temple and adjoining smaller buildings in Aihole Bagalkot Survey No. 66, known as Jotirling.",37
46,Temple close beside last (The last two are in Aihole Bagalkot fields 1 or 285 or both),37
47,Temple in village close to that of LadKhan to Aihole Bagalkot its north-east corner,37
48,Temples in fields a short distance from the Aihole Bagalkot north-west corner of village,37
49,Temple in Survey No. 270 owned by Aihole Bagalkot Huchhappaya,37
50,The temple of Ladkhan Aihole Bagalkot,37
51,Temple on the north of the last Aihole Bagalkot,37
52,Temple with front white washed with a large Aihole Bagalkot Nandi in the Hall (about 100yards west of the south -west gate way of the town),37
53,Tryambakeshawar temple (black marble Aihole Bagalkot Ishwarling),37
54,The two- storied Jain temple and cave on hill Aihole Bagalkot under Meguti,37
55,Virbhadradever temple Aihole Bagalkot,37
56,Veniavar Gudi Aihole Bagalkot,37
57,Veniavar Gudi Aihole Bagalkot,37
58,VeniavarGudi Aihole Bagalkot,37
59,Yanniavar Gudi Aihole Bagalkot,37
60,Old Gate Amingad village Bagalkot,37
61,Stone bearing an Inscription Arshibidi (Gudur) Bagalkot,37
62,Stone bearing an Inscription Arshibidi (Gudur) Bagalkot,37
63,Stone bearing an Inscription Arshibidi (Gudur) Bagalkot,37
64,The Bhutnath group of temples on the east Badami Bagalkot margin of the tank,37
65,The group of temples on the north side of the Badami Bagalkot lake towards the east end 37 Sl.No. Name of the Monument / Site Locality District,37
66,"Lakutisa temple immediately behind the Badami Bagalkot Bhutnath group, containing a nude seated image in the shrine, broken across the body",38
67,The Jain and Vaishnava Caves Badami Bagalkot,38
68,"Large seated image, rock-cut, in a natural Badami Bagalkot cavern under the cliff to the south-east of the Bhutnath temples",38
69,Rock Shelter locally known as sidalephadi Badami Bagalkot together with adjacent land comprised in part of survey plot no.534,38
70,Sculptures on the Rock Behind the Above Badami Bagalkot,38
71,The south fort and the old gun Badami Bagalkot,38
72,Temple on the knoll under the bastion of the Badami Bagalkot north fort,38
73,The north fort and temples Badami Bagalkot,38
74,Hermitage in the natural cavern to the east of Badami Bagalkot the lake,38
75,The whole length of the remains of the Badami Bagalkot ancient Chalukyan City walls including moat and moat walls and all ancient gates and ancient dam forming the western boundary of the Bhutnath tank,38
76,Inscriptions Belur Bagalkot,38
77,Kalika Bhavani temple Bevoor Bagalkot,38
78,Narayandev temple Bevoor Bagalkot,38
79,Rameshwar temple Bevoor Bagalkot,38
80,Inscriptions Bhairanmatti Bagalkot,38
81,Old temple now partly buried to the right side Cholachgud Bagalkot of the main entrance to the modern Banshankri temple,38
82,Old temple with all adjacent ancient Cholachgud Bagalkot structures - gateways to the left side of the entrance to the modern Banshankri temple,38
83,Tank with colonnades at Banashankari Cholachgud Bagalkot,38
84,"An old Jain temple on top of a hill locally Hallur Bagalkot known as ""Melgudi""",38
85,"Vishveshwar temple in the village with two big Hallur Bagalkot "" Dwarpalas"" probably brought from some other temple and main entrance to the court yard.",38
86,Inscriptions Katgeri Bagalkot,38
87,Nagnath Temple in the Nagnath valley near Nagralsamat Bagalkot Shivayogamandir.,38
88,Inscriptions Nandikeshwar Bagalkot,38
89,Inscriptions Nandwadagi Bagalkot,38
90,Chandrashekhar temple near Sangmeshwar Pattadkal Bagalkot temple and towards its north,38
91,A Dolmen on the south side of the road Pattadkal Bagalkot leading from the village to Badami about a mile to the west.,38
92,Galganath temple on the north of Pattadkal Bagalkot Sangameshwar temple,38
93,The great temple of Virupaxa in use Pattadkal Bagalkot,38
94,The jain temple included in the mission area Pattadkal Bagalkot 38 Sl.No. Name of the Monument / Site Locality District about ¼ of a mile from the village on the west,38
95,Jambulinga temple on the west of Galganath. Pattadkal Bagalkot,39
96,Kadshiddeshwar temple to the north of the Pattadkal Bagalkot last named and on the outside of the north wall of the village,39
97,Kashi Vishveshwar temple close beside and Pattadkal Bagalkot on the north side of Malikarjuna's,39
98,Monolithic stone pillar bearing inscriptions Pattadkal Bagalkot,39
99,The temple of Malikarjuna close to and at the Pattadkal Bagalkot north-west corner of Virupaxa's,39
100,The temple of Papnath at the south-east Pattadkal Bagalkot corner of the village,39
101,The temple of Sangameshwar to the north of Pattadkal Bagalkot Virupaxa's,39
102,Western Chalukya inscription dated Shake Asundi Belagavi 1015 in the temple of Banshankari,39
103,"Two inscriptions of Ratta chieftains, one of Bailhongal Belagavi which is dated Shake 1086 in the old temple of Siva.",39
104,Kadamba inscription dated Kaliyuga 4282 Bailur Belagavi (lying in the village).,39
105,Old Jain temple outside the Commisariat Belagavi Fort Belagavi store yard but close to it.,39
106,Old Jain temple in the corner of the Belagavi Fort Belagavi Commisariat store yard.,39
107,Remains of an old Hindu temple near the Belagavi Fort Belagavi barracks.,39
108,Safa Masjid Belagavi Fort Belagavi,39
109,Fragment of a western Chalukya inscription Belavdi Belagavi of Shake 992 in the temple of Virbhadradev.,39
110,Kanarese or Telugu inscription of about the Degalavalli Belagavi 15th century in the old temple of Ishvar.,39
111,"Small old temple known as Bastigudi with Degaon Belagavi four Kadamba inscriptions, two of which are dated Kaliyuga 4275 (1174 A.D)",39
112,Two Kadamba inscriptions dated Kaliyuga Halshi Belagavi 4270 and 4272 in the temple of VarahNarsinh,39
113,"Group of temples at Halsi, (Suvarneshvara Halsi Belagavi Temple, Rameshvar Temple, Kalameshvara Temple and Bhu-Varaha Temple)",39
114,Ratta tablet dated Shake 1130 and 1178 in Hannikeri Belagavi the temple of Brahmadev,39
115,Temple of Panchlingdev outside the village Huli Belagavi,39
116,Inscriptions on two pillars in the above temple Huli Belagavi,39
117,Western Chalukya inscription of the time of Kadroli Belagavi Someshvardev II dated shake 997 in the temple of Shankardev,39
118,Ratta inscription dated Shake 1127 in an old Kalloli Belagavi Jain basti.,39
119,Kadamba inscription dated Kaliyuga 4289 in Kittur Belagavi the temple of Basava.,39
120,Three groups of Dolmens Konnur Belagavi 39 Sl.No. Name of the Monument / Site Locality District,39
121,Ratta inscription of Shake 1075 in the temple Konnur Belagavi of Mahalingeshvar.,40
122,Ratta inscription of Shake 1000 and 1043 in a Konnur Belagavi Jain temple in the village,40
123,Ruined temple of perhaps the 11th century Konnur Belagavi,40
124,Inscription against the wall of the temple of Manoli Belagavi Panchlingdev of the yadav king Singhana of Devgiri dated Shake 1145.,40
125,Inscription in the temple of Udachava of Manoli Fort Belagavi Khandhara or Krishna dated Shake 1174,40
126,Inscription of Sadashivdevraya of Vijayanagar Murgod Belagavi in the temple of Malikarjuna,40
127,An old and typical Jain temple in the Jungle Nandgad Belagavi with fine carving.,40
128,Inscription dated Shake 1141 of the time of Nesargi Belagavi the Ratta chieftain Kartavirya IV in the old temple of Basava.,40
129,Fragment of a Ratta tablet dated Shake 1168 Padli Belagavi in the temple of Narayandev,40
130,Jumma Masjid Sampgaon Belagavi,40
131,Ratta inscription dated Shake 971 and 1010 Saundatti Belagavi and a fragment of another dated Shake 970 in the temple of Ankuseshvar.,40
132,Two inscriptions dated respectively Shake Saundatti Belagavi 797 and 902 in the old Jain temple,40
133,A Silahara inscription of Shake 1078 in the Shedbal Belagavi temple of Basaveshvar,40
134,Ratta inscription at the water fall near the Sogal Belagavi temple of Someshvar dated Shake 902,40
135,"Vijayanagar inscription of Krishnaraya dated Ugargol Belagavi Shake 1436 in the temple of Yellamma, two miles from the village",40
136,Jain Temple of Mukteshvar Wakkund Belagavi,40
137,Banashankaridevi Amargol Dharwad,40
138,Shankar ling Amargol Dharwad,40
139,Shri Amrateshvar Annigeri Dharwad,40
140,The Two Fort Gates (inner and outer) Dharwad Dharwad,40
141,Basvanna Dev temple Tambur Dharwad,40
142,Chandramanleshvar Unkal Dharwad,40
143,Viragal on land of the Hatagara Mallaraya; Betigeri Gadag also inscribed memorial stones in a walled enclosure in the village. (The collection of stones sixteen in number and enclosed by a mud by wall locally known as Mallarayankatti),40
144,Dodbasappa Temple Dambal Gadag,40
145,Someshwar Temple Dambal Gadag,40
146,Sarasvati Temple Gadag Gadag,40
147,Someshvar Temple Gadag Gadag,40
148,The two stone inscriptions fixed in the wall of Hombal Gadag the Shankarling temple,40
149,Jain Basti Lakkundi Gadag,40
150,Kashivishveshvar Lakkundi Gadag,40
151,Kumbargeri ishvar Lakkundi Gadag,40
152,Mankeshvar at Muskinbhanvi Lakkundi Gadag 40 Sl.No. Name of the Monument / Site Locality District,40
153,Muskin Bhanvi Lakkundi Gadag,41
154,Nagnath near The Jain Temple Lakkundi Gadag,41
155,Naneshvar Lakkundi Gadag,41
156,The stone inscription in side Shankarling Nargund Gadag temple,41
157,Kalmeshvar Balambid Haveri,41
158,Nagareshwra temple or Aravattukambhad Bankapur Haveri Gudi,41
159,Muktheshvar Chavadadanapur Haveri,41
160,Galageshvar Galagnath Haveri,41
161,Old ruined temple between the fort and tank Hangal Haveri with the two sides of a very finely sculptured doorway partly buried in accumulated earth,41
162,Tarakeshvar Hangal Haveri,41
163,Virabhadra Temple in Hangal Fort Hangal Haveri,41
164,Kaleshwar temple to the north of Someshwar Haralhalli Haveri temple,41
165,Someshvar Temple Harlahalli Haveri,41
166,Shiddeshvar Temple Haveri Haveri,41
167,Temple of Sarveshvar Naregal Haveri,41
168,Kadambeshvar Temple Rattihalli Haveri,41
169,Inscriptions in the Markandeshwar Temple Bailur Uttar Kannada,41
170,Carved bed stead of stone existing in a small Banavasi Uttar Kannada chamber in the south side of the compound of Madhukeshwar Temple,41
171,Madhukeshwar Temple Banavasi Uttar Kannada,41
172,Inscriptions in Madhukeshwar Temple Banavasi Uttar Kannada,41
173,Stones (Viragals) Bedkani Uttar Kannada,41
174,Adke Narayan Devasthan and 2 Others Bhatkal Uttar Kannada (i) Virupaksha Devasthan (ii) Venkatraman Devasthan,41
175,Jattappa Naikan Chandra Natheshwar Basti Bhatkal Uttar Kannada,41
176,Joshi Shakar Narayan Devashtan Bhatkal Uttar Kannada,41
177,Ketpai Narayan Devasthan Bhatkal Uttar Kannada,41
178,Lakars Kamati Narayan Devasthan Bhatkal Uttar Kannada,41
179,Narsinha Devasthan Bhatkal Uttar Kannada,41
180,Paraswanatheshwar Basti Bhatkal Uttar Kannada,41
181,Raghunath Devasthan Bhatkal Uttar Kannada,41
182,Santappa Naik Tirumal Devasthan Bhatkal Uttar Kannada,41
183,Three European Graves Bhatkal Uttar Kannada,41
184,Inscriptions Bilgi Uttar Kannada,41
185,The Jain Basti of Parashwanath Bilgi Uttar Kannada,41
186,"A small deserted temple dedicated to Siva, Bilgi Uttar Kannada on the east of the river.",41
187,Virupaksh Temple Bilgi Uttar Kannada,41
188,"Virabhadraswami temple together with Gudnapur Uttar Kannada sculptures and inscribed pillar comprising in part of Gramatana, Survey nos.76/1,76/2,76/3,76/4 and part of Survey number1,2.",41
189,Basti Chandranath Deva Hadvalli Uttar Kannada,41
190,Carved stones near the temple of the Gram Hosur Uttar Kannada 41 Sl.No. Name of the Monument / Site Locality District deva,41
191,The Figure of a Tiger opposite the English Kumta Uttar Kannada School,42
192,Tombs on the right side of the Manki Kumta Kumta Uttar Kannada road,42
193,Fort Mirjan Uttar Kannada,42
194,Chaturmukh Basti Nagarbasti Keri or Uttar Kannada Gersappa,42
195,Inscriptions Nagarbasti Keri or Uttar Kannada Gersappa,42
196,Vardhaman swami Temple Nagarbasti Keri or Uttar Kannada Gersappa,42
197,Virbhadra Temple Nagarbasti Keri or Uttar Kannada Gersappa,42
198,"Temple of Shiva, Somasagar Somasagar Uttar Kannada",42
199,The King's Seat Sonda Uttar Kannada,42
200,"Temple closes to, and to the south of, the Sonda Uttar Kannada King’s seat at Sonda",42
201,Ancient Hindu temple of Shri Dattatraya Chattarki(Gaotha) Vijayapura,42
202,Inscriptions Hippargi Vijayapura,42
203,Masjid in the Village site Khatijapur Vijayapura,42
204,All (four) water pavilions Kumatgi Vijayapura,42
205,Water pavilion in Survey No. 318 Kumatgi Vijayapura,42
206,The Badi Kaman including ancient arcades to Mahal Bagayat Vijayapura its east and west sides as well as those recentely discovered and running on either side of the road from Monument (Badi Kaman) to Mustafa Khan’s Masjid,42
207,Small masjid near Afzul Khan's wives’ tombs MahalBagayat Vijayapura,42
208,Fort Walls Navraspur Vijayapura,42
209,Shankarling temple including inscriptions Nimbal Vijayapura,42
210,Shri Ramdev Temple with its compound and Talikot village Vijayapura well,42
211,"Aqueduct running from Bhat Bavdi, S.W. of Torvi and Vijayapura Torvi village to theTaj Bavdi at Vijayapura Vijayapura",42
212,Mahal at Ainapur in field Vijayapura Vijayapura,42
213,Afzulkhan’s wives’ tombs Vijayapura Vijayapura,42
214,Afzulkhan's Cenotaph Vijayapura Vijayapura,42
215,Ain-ul-mulk's tomb Vijayapura Vijayapura,42
216,Ali I Rauza Vijayapura Vijayapura,42
217,Ali II Rouza Vijayapura Vijayapura,42
218,Alli Shahid Pir's Masjid Vijayapura Vijayapura,42
219,All old guns on ramparts and in trophy Vijayapura Vijayapura,42
220,The Ambar Kana Vijayapura Vijayapura,42
221,The Andu Masjid Vijayapura Vijayapura,42
222,Asar Mahal Vijayapura Vijayapura,42
223,Batula Khan’s Masjid Vijayapura Vijayapura,42
224,Bukhari Masjid Vijayapura Vijayapura,42
225,The Chand Bavri Vijayapura Vijayapura,42
226,Chhoti Asar Mosque Vijayapura Vijayapura,42
227,Chinch Didi Masjid Vijayapura Vijayapura,42
228,Dakhani Idgah Vijayapura Vijayapura 42 Sl.No. Name of the Monument / Site Locality District,42
229,"The dam of the Ramling Tank of length about Vijayapura Vijayapura 1,419 yards with a space of 15 feet along the base of it inside the dry tank, two outlets, masonry water channel running at right angles to the dam to the north with 8 feet clear space on either side of it, and the adjoining gateway at the extreme east-end.",43
230,The Gagan Mahal Vijayapura Vijayapura,43
231,Dhaiwadi Masjid near Allapur gate Vijayapura Vijayapura,43
232,The gates and walls of city & citadels Vijayapura Vijayapura,43
233,The Gol Gumbaz Vijayapura Vijayapura,43
234,The Grave of Aurangzaeb's wife in The Vijayapura Vijayapura Navbag.,43
235,The Green Stone Tomb Vijayapura Vijayapura,43
236,The Gumat Baori Vijayapura Vijayapura,43
237,Haji Hasan Saheb's tomb Vijayapura Vijayapura,43
238,Hasan Guljar's tomb with marble tomb stone Vijayapura Vijayapura near Ramling Tank,43
239,Hyder (Upli) Buruj Vijayapura Vijayapura,43
240,Hyderkhan's Tomb Vijayapura Vijayapura,43
241,Ibrahim I Jami Masjid Vijayapura Vijayapura,43
242,Ikhalas Khan's Mosque Vijayapura Vijayapura,43
243,Jahan Begam’s Tomb Vijayapura Vijayapura,43
244,The Jalamandir Vijayapura Vijayapura,43
245,The Jod Gumbaz Vijayapura Vijayapura,43
246,The Juma Masjid Vijayapura Vijayapura,43
247,The Kamarkhi Gumbaz Vijayapura Vijayapura,43
248,The Ibrahim Rouza Vijayapura Vijayapura,43
249,Karim-Uddin's Mosque Vijayapura Vijayapura,43
250,The Makka Masjid Vijayapura Vijayapura,43
251,The Mihtari Mahal Vijayapura Vijayapura,43
252,The Moats of the City wall Vijayapura Vijayapura,43
253,The Mosque at the Gol Gumbaz Vijayapura Vijayapura,43
254,Mosque No 21 behind the Chanda Bavri Vijayapura Vijayapura,43
255,Mosque No 213 Vijayapura Vijayapura,43
256,Mosque No 366 Vijayapura Vijayapura,43
257,Moti Darga Vijayapura Vijayapura,43
258,The Mubarak-Khan's Mahal Vijayapura Vijayapura,43
259,The Mulla Mosque Vijayapura Vijayapura,43
260,Mustafa Khan's Mosque Vijayapura Vijayapura,43
261,Nan Gumbaz Vijayapura Vijayapura,43
262,Nitya Navari tomb and Masjid near Moti Vijayapura Vijayapura Masjid,43
263,Old Mosque No 294 Vijayapura Vijayapura,43
264,A Ruined gateway with inscription slab no. Vijayapura Vijayapura 127,43
265,The Sat Mazli Vijayapura Vijayapura,43
266,Shaha Navazkhan's tomb Vijayapura Vijayapura,43
267,Shikandar Shah's Tomb Vijayapura Vijayapura,43
268,The Small pavilion in front of The Arash Vijayapura Vijayapura Mahal 43 Sl.No. Name of the Monument / Site Locality District,43
269,A Small Tomb No 47 Vijayapura Vijayapura,44
270,The Sonheri Masjid Vijayapura Vijayapura,44
271,Tomb of Pir Shaikh Hamid Khadir Vijayapura Vijayapura,44
272,Tomb No 22 on the western bank of Vijayapura Vijayapura Chandabavdi,44
273,Tomb No 48 Vijayapura Vijayapura,44
274,The two different moats of the citadel locally Vijayapura Vijayapura known as Arquilla,44
275,The Water Pavilions Vijayapura Vijayapura,44
276,Water pavilion to the south of the church in Vijayapura Vijayapura the arquilla,44
277,"Water towers Nos. 61, 67, 91, 114, 115, 142, Vijayapura Vijayapura 147, 286 and 289",44
278,Well at Ibrahimpur Vijayapura Vijayapura,44
279,Yakub Dabuli's Mosque and tomb No. 204 Vijayapura Vijayapura,44
280,Yasuf's old Jami Masjid Vijayapura Vijayapura,44
281,The Zanjiri or Malik Jahan Begam's Mosque Vijayapura Vijayapura,44
282,The Sangat and Nari Mahals at Torweh Vijayapura Vijayapura Hampi Circle Sl.No. Name of the Monument / Site Locality District,44
1,Kalleswara Swami Temple Ambali Bellary,44
2,Hampi Ruins and Ananthasayana Temple Ananthasayanagudi Bellary,44
3,Kalleswara Swami Temple Anguru Bellary,44
4,Tipu Sultan's Upper Fort and Citadel and Bellary Bellary Nagalacheruva,44
5,Group of Jain Temples on the Hemakutahill Hampi Bellary,44
6,Kadalekalu Ganesa Temple Hampi Bellary,44
7,Monolithic Bull Hampi Bellary,44
8,Sasvikal Ganesa Temple Hampi Bellary,44
9,Vishnupad Temple Hampi Bellary,44
10,Virupaksha Temple and Bazar Hampi Bellary,44
11,Kalleswara Swami Temple Hire-Hyadagalli Bellary,44
12,Kalleswara Swami Temple Huvina Hadagalli Bellary,44
13,Band tower in Danniak's enclosure Kamalapuram Bellary,44
14,Basement of a Large Ruined building Kamalapuram Bellary opposite to Muhammadan Mosque and also the Platform Northeast of Dannlak's enclosure,44
15,Basement of a Palace near small Kamalapuram Bellary underground shrine chamber,44
16,Basement of a Palace in Dannaika's Kamalapuram Bellary enclosure,44
17,Basement of Queen's Palace in Zanana Kamalapuram Bellary enclosure,44
18,Bhima's Gateway to East of Ganigiti Jain Kamalapuram Bellary Temple 44 Sl.No. Name of the Monument / Site Locality District,44
19,Bhojansala of Pilgrims Feeding Place near Kamalapuram Bellary the Octagonal Pavilion on the Hampiroad,45
20,Chanderasekara Temple Kamalapuram Bellary,45
21,Domed Gateway to the East of the Citadel Kamalapuram Bellary,45
22,(i) Elephant's Stable Kamalapuram Bellary (ii) Guards House close to Elephant's Stable,45
23,(i) Hazara Ramachandra Temple Kamalapuram Bellary (ii) Basement of King's Audience Hall (iii) Throne Platform,45
24,Jain temple with inscriptions North East of Kamalapuram Bellary Elephant's Stable,45
25,Gnanagitte Jaina Temple Kamalapuram Bellary,45
26,Large Public Bath or Tank Kamalapuram Bellary,45
27,"(i) Large Stone Trough, Kamalapuram Bellary (ii) Large Stone Door (iii) Stone Aqueduct & Small Underground Shrine Chamber",45
28,Large Underground Temple Kamalapuram Bellary,45
29,Lotus Mahal Pavilion Kamalapuram Bellary,45
30,Mosque in Dannaik's enclosure Kamalapuram Bellary,45
31,Muhammadan tomb & Dargah on the Road to Kamalapuram Bellary Hospet from Kamalapuram,45
32,Muhammadan Watch tower in Dannaik's Kamalapuram Bellary Enclosure,45
33,North Watch Tower in the Zenana Enclosure Kamalapuram Bellary,45
34,Octagonal Bath Kamalapuram Bellary,45
35,Octagonal Water Pavilion Kamalapuram Bellary,45
36,Old Water Supply Scheme Kamalapuram Bellary,45
37,Pattabhirama Temple Kamalapuram Bellary,45
38,Queen's Bath Kamalapuram Bellary,45
39,Ruined Bulidings of Minor Importance Kamalapuram Bellary,45
40,Ruined Car Street in Front of Hasara Rama Kamalapuram Bellary Temple,45
41,Ruined Tank to Northeast of Pattabhirama Kamalapuram Bellary Temple,45
42,Southeast Watch tower in Zenana Enclosre Kamalapuram Bellary,45
43,Two Pillars and Group of Mortar Wheels Kamalapuram Bellary Outside Zenana Enclosure,45
44,Two small Siva Temples with inscriptions to Kamalapuram Bellary the east of Pattabhirama Temple,45
45,(i) Water Pavilion in Zenana Enclosure Kamalapuram Bellary (ii) Guards House in Zenana Enclosure (iii) Walls and Gateways of the Zenana Enclosure (iv) Ranga Temple,45
46,Water Tower of the city of Vijayanagar Kamalapuram Bellary,45
47,Group of Sati Memorials & Isnidikeswara Kederampura Bellary 45 Sl.No. Name of the Monument / Site Locality District Temple,45
48,Saraswati Temple Kederampura Bellary,46
49,Krishna Temple Krishnapuram Bellary,46
50,Linga Temple near Narsimha Statue Krishnapuram Bellary Badavilinga Temple,46
51,Narasimha Statue Krishnapuram Bellary,46
52,Prehistoric Anthropomorphic Figure Kumati Bellary,46
53,Mallikarjuna Temple Kuruvatti Bellary,46
54,Suryanarayana Temple Magala Bellary,46
55,Kalleswarswamy Temple Mailara Bellary,46
56,Soolai Well Malapannanagudi Bellary,46
57,Inscriptions of Ashoka (Rock Edicts) Nittur Bellary,46
58,Narasimha Swami Temple Rangapuram Bellary,46
59,Parvati & Kartikeya Temples Sandur Bellary,46
60,Saraswathy Temple Singanathana Halli Bellary,46
61,Gopala Krishnaswami Temple Thimmalapur Bellary,46
62,Siva's Temple Thimmalapur Bellary,46
63,Ashokan Inscriptions (Rock Edicts) Udeogolam Bellary,46
64,Achyutaraya (Triuvengalantha) Temple Venkatapuram Bellary,46
65,Fort Gateway on the Talarigattu Road Venkatapuram Bellary,46
66,Inscribed Vishnu Temple near Vitthala Venkatapuram Bellary Temple,46
67,Jain Temple on the Hillside close to Vishnu Venkatapuram Bellary Temple,46
68,Mandapa in a Field close to Talarigattu Road Venkatapuram Bellary,46
69,Raghunatha Swami Temple Venkatapuram Bellary,46
70,Ruined Tank Adjoining the Soolai Bazaar Venkatapuram Bellary,46
71,Two Storeyed Mandapa Venkatapuram Bellary,46
72,Vishnu Temple No.I close to north end of Venkatapuram Bellary Soolai Bazaar,46
73,Vishnu Temple No.II close to the last Venkatapuram Bellary,46
74,Vishnu Temple No.III facing South Gateway Venkatapuram Bellary of Vittala Temple,46
75,"(i) Vittala Temple, Venkatapuram Bellary (ii) King's Balance (iii) Old Siva Temple on the North-East side of Vittala Temple (iv) Ruined Gateway with Lofty Pillars to the West of Vittala Tempe",46
76,Baihmani Tombs Ashtur Bidar,46
77,Barid Shahi Tombs Bidar Bidar,46
78,Bidar Fort Bidar Bidar,46
79,Madrasa Mahmud Gawan Bidar Bidar,46
80,Gulbargo Fort and Great Mosque in the fort Kalaburagi Kalaburagi,46
81,Hafth Gumbad Tomb of Firoz shah Kalaburagi Kalaburagi 46 Sl.No. Name of the Monument / Site Locality District,46
82,Ancient excavated site containing remains of Kanaganahali Kalaburagi Buddhist stupa,47
83,Ancient Site Udchan(Also known Kalaburagi as Urchan),47
84,Pre-Historic Site Hirebenakal Koppal (benkal),47
85,Mahadev Temple Ittagi Koppal,47
86,Ancient Mound Koppal Koppal,47
87,Rock edicts of Asoka on two hillocks known Koppal Koppal as Gavimath and Palkigundu,47
88,Ancient Mound Maski Raichur,47
89,Maski Asokan Edict Maski Raichur,47
90,Pre-Historic Site Evathalli Yadagir (Vibhutihalli),47
91,Pre-Historic Site Rajankallur Yadagir,47
13,List of Centrally Protected Monuments / Sites under the jurisdiction of Kerala (Thrissur Circle) Sl.No. Name of the Monument / Site Locality District,47
1,Mural Paintings (16-17th Century) on the Kochi Ernakulam walls of the Mattanchery Palace,47
2,St. Francis Church Kochi Ernakulam,47
3,Fort St. Angelo Kannur Kannur,47
4,Tellicherry Fort Thalassery Kannur,47
5,Bekal Fort Pallikere Kasargod,47
6,Palghat (Palakkad) Fort (Yakkaradesam) Palakkad Palakkad,47
7,Siva temple at Netrimangalam Pattambi Palakkad,47
8,Remains of fort Thangassery Kollam,47
9,Anjengo Fort Anjengo Thiruvananthapu- (Anchuthengu) ram,47
10,"Temples of Parasurama, Brahma, Siva and Tiruvallam Thiruvananthapu- Matsya together with adjacent land ram comprised in survey plot nos. 44/1A and 44/1B",47
11,"Rock cut cave together with adjacent area Vizhinjam Thiruvananthapu- comprised in survey plot nos. 402/10A-36/6 ram and 402/10A-35/7, 35/8",47
12,"Siva templecomplex together with adjacent Chemmanthitta Thrissur area comprised in survey plot nos. 131/6,132/1,132/2,133/2 and part of survey plot no. 134/1",47
13,29 Wooden Bracket Images on the outer wall Kadavallur Thrissur of the Srikoil of the Vishnu Temple at Kadavallur and other works of art in the same shrine 47 Sl.No. Name of the Monument / Site Locality District,47
14,"Siva Temple complex, Peruvanam together Peruvanam Thrissur with adjacent area comprised in survey plot no. 71 and part of survey plot nos. 55, 59/1, 60, 63, 64, 68, 80, 81 of village Urakam and survey plot nos.1/2, 2/1 and part of survey plot nos. 1/1 and 4/2 of village Cherpu",48
15,Mural Paintings (16th-17th century A.D.) on Thiruvanchikulam Thrissur the walls of the Siva temple of 10th-11th Century A.D.,48
16,Mural paintings on the walls of Sriramaswami Triprayar Thrissur temple at Triprayar,48
17,Siva Temple Complex Pallimannah Thrissur,48
18,Mural paintings (16-17th cent AD.) on the Thrissur Thrissur walls of Ten-Kailasanatha (Vadakkunnatha)Temple,48
19,"Ariyannur Umbrellas, a Prehistoric Site Ariyannur Thrissur consisting of seven of more Kudakals or Umbrella Stones",48
20,"Kudakkalluparambu, a Prehistoric Site Cheramangad Thrissur consisting of 50-60 Kudakals or Umbrella Monuments",48
21,Burial Cave of Chovannur Chovannur Thrissur,48
22,Burial Caveof Eyyal Eyyal Thrissur,48
23,Burial Cave of Kandanassery Kandanassery Thrissur,48
24,Burial Cave of Kattakampal Kattakampal Thrissur,48
25,Burial Cave of Kakkad Kakkad Thrissur,48
26,Siva Temple Avittathur Thrissur,48
27,Jain temple Kidanganad Wayanad,48
28,Vishnu Temple (Vishnugudi) Nadavayal Village Wayanad,48
29,Janardana Temple Mananthavadi Wayanad 48,48
14,List of Centrally Protected Monuments / Sites under the jurisdiction of Ladakh (U.T.) (Leh Mini-Circle) Sl.No. Name of the Monument / Site Locality District,49
1,Rock cut Four Armed Bodhi Satava Mulbekh Kargil,49
2,Sculpture at Drass Drass Kargil,49
3,Buddhist Monastery Lamayuru Leh,49
4,Buddhist Monastery Lakir Leh,49
5,Buddhist Monasteries Alchi Leh,49
6,Buddhist Gumpha Phyang Leh,49
7,Ancient Palace at Leh Leh Leh,49
8,Old Castle (Tsemo Hill) Leh Leh,49
9,Stupa Tiserru Shestang Leh,49
10,Ancient Palace including Shrine Shey Leh,49
11,Hamis Gumpha Hemis Leh,49
