asi_slno,raw_text,page
32,Megalithic cairns with bounding stone Pandur Chittoor 4 Sl.No. Name of the Monument / Site Locality District circles,4
33,Chennakeswaraswami temple Sompalle Chittoor,5
34,Megalithic cists and cairns Virakuppam Chittoor (Birakuppam),5
35,Mounds containing Buddhist remains such Adurru East Godavari as stupas,5
36,Gollingeswara group of temples Biccavolu East Godavari,5
37,Kanchragudi Biccavolu East Godavari,5
38,Monolithic Ganesa Image Biccavolu East Godavari,5
39,Nakkalagudi Biccavolu East Godavari,5
40,Veerabhadra temple Biccavolu East Godavari,5
41,Bhimeswara temple Draksharama East Godavari,5
42,"Rock-cut caves and cisterns and remains Kapavaram East Godavari of Buddhist Stupas, Chaityas and Viharas (monasteries) on the hill Pandavula or Pandavulakonda",5
43,Buddhist remains at Kodavali Kodavali East Godavari,5
44,"Bhimeswara temple Samalkot, East Godavari (Bhimavaram)",5
45,Ruined Buddhist stupa and other remains Amaravati Guntur,5
46,An Ancient Siva temple with inscription Ayyangaripalam Guntur (Hamlet of Pondugula),5
47,Sri Bhavanarayanaswami temple Bapatla Guntur,5
48,Ruined Buddhist stupa Bhattiprolu Guntur,5
49,"The Sculptures, carvings, images, bas Buddam Guntur reliefor other like objects discovered within the revenue limit",5
50,Kapoteswara temple with five inscriptional Chejerla Guntur slabs within the temple site,5
51,Inscribed rock to the west of Dharanikota Dharanikota Guntur,5
52,Fort in ruins Dharanikota Guntur,5
53,The Mounds with ancient remains on them Grandhasiri Guntur (Hamlet of Vornakallu),5
54,Inscribed marble pillar near the Gopala Ipur Guntur temple,5
55,Ancient Buddhist remains with Brahmi Manchikallu Guntur inscriptions on the mound,5
56,Reconstructed monumets at Anupu Nagarjunakonda Guntur andNagarjunklonda hilltop,5
57,Mounds within the limit of Nagulavaram Nagulavaram Guntur,5
58,"The Sculptures, carvings, images, bas Pullareddigudem Guntur relief on the ancient mound",5
59,(i) The mounds with remains of ancient Pullareddigudem Guntur building between the hillock of (Agarharam) Nagarjuna Konda and the village of Pullareddigudem (ii) Mounds adjacent to the hillock reddigudem 5 Sl.No. Name of the Monument / Site Locality District (iii) Hill of Nagarjunakonda with the ancient remains,5
60,Four-storeyed rock-cut Hindu temple Undavalli Guntur,6
61,The Mounds with ancient remains Velpur Guntur,6
